"Um Sonho de Liberdade"
"O Poderoso Chefão"
"O Poderoso Chefão II"
"Batman: O Cavaleiro das Trevas"
"12 Homens e uma Sentença"
"A Lista de Schindler"
"O Senhor dos Anéis: O Retorno do Rei"
"Pulp Fiction: Tempo de Violência"
"Três Homens em Conflito"
"O Senhor dos Anéis: A Sociedade do Anel"
"Clube da Luta"
"Forrest Gump: O Contador de Histórias"
"A Origem"
"O Senhor dos Anéis: As Duas Torres"
"Star Wars, Episódio V: O Império Contra-Ataca"
"Matrix"
"Os Bons Companheiros"
"Um Estranho no Ninho"
"Os Sete Samurais"
"Seven: Os Sete Crimes Capitais"
"A Vida é Bela"
"Cidade de Deus"
"O Silêncio dos Inocentes"
"A Felicidade Não se Compra"
"Guerra nas Estrelas"
"O Resgate do Soldado Ryan"
"À Espera de um Milagre"
"A Viagem de Chihiro"
"Interestelar"
"Parasita"
"O Profissional"
"Harakiri"
"Os Suspeitos"
"O Rei Leão"
"O Pianista"
"De Volta para o Futuro"
"O Exterminador do Futuro 2: O Julgamento Final"
"A Outra História Americana"
"Tempos Modernos"
"Psicose"
"Gladiador"
"Luzes da Cidade"
"Os Infiltrados"
"Intocáveis"
"Whiplash: Em Busca da Perfeição"
"Túmulo dos Vagalumes"
"O Grande Truque"
"Era uma Vez no Oeste"
"Casablanca"
"Cinema Paradiso"
"Janela Indiscreta"
"Alien - O 8º Passageiro"
"Apocalypse Now"
"Amnésia"
"Hamilton"
"O Grande Ditador"
"Os Caçadores da Arca Perdida"
"Django Livre"
"A Vida dos Outros"
"Coringa"
"Glória Feita de Sangue"
"WALL·E"
"O Iluminado"
"Vingadores: Guerra Infinita"
"Crepúsculo dos Deuses"
"Testemunha de Acusação"
"Oldboy"
"Princesa Mononoke"
"Homem-Aranha no Aranhaverso"
"Dr. Fantástico"
"Batman: O Cavaleiro das Trevas Ressurge"
"Era uma Vez na América"
"Aliens, o Resgate"
"Your Name."
"Viva: A Vida é uma Festa"
"Vingadores: Ultimato"
"Beleza Americana"
"Coração Valente"
"O Barco: Inferno no Mar"
"Cafarnaum"
"3 Idiotas"
"Toy Story"
"Céu E Inferno"
"Amadeus"
"Bastardos Inglórios"
"Star Wars, Episódio VI: O Retorno do Jedi"
"Gênio Indomável"
"Como Estrelas na Terra"
"Cães de Aluguel"
"2001: Uma Odisséia no Espaço"
"Réquiem para um Sonho"
"Um Corpo que Cai"
"M, o Vampiro de Dusseldorf"
"A Caça"
"Brilho Eterno de uma Mente sem Lembranças"
"Cidadão Kane"
"Dangal"
"Nascido para Matar"
"Ladrões de Bicicletas"
"Cantando na Chuva"
"O Garoto"
"Snatch: Porcos e Diamantes"
"Intriga Internacional"
"Laranja Mecânica"
"1917"
"Scarface"
"Vá e Veja"
"Viver"
"Taxi Driver: Motorista de Táxi"
"Lawrence da Arábia"
"Toy Story 3"
"O Fabuloso Destino de Amélie Poulain"
"A Separação"
"Incêndios"
"Golpe de Mestre"
"Metrópolis"
"Por uns Dólares a Mais"
"Se Meu Apartamento Falasse"
"Pacto de Sangue"
"O Sol é para Todos"
"Up: Altas Aventuras"
"Indiana Jones e a Última Cruzada"
"Fogo Contra Fogo"
"Los Angeles: Cidade Proibida"
"Duro de Matar"
"Green Book: O Guia"
"Monty Python em Busca do Cálice Sagrado"
"Yojimbo, o Guarda-Costas"
"Batman Begins"
"Rashomon"
"A Queda! As Últimas Horas de Hitler"
"Filhos do Paraíso"
"Os Imperdoáveis"
"Ran"
"Quanto Mais Quente Melhor"
"O Castelo Animado"
"A Malvada"
"Uma Mente Brilhante"
"Cassino"
"Fugindo do Inferno"
"O Lobo de Wall Street"
"O Labirinto do Fauno"
"O Segredo dos Seus Olhos"
"Sangue Negro"
"Jogos, Trapaças e Dois Canos Fumegantes"
"Meu Amigo Totoro"
"Touro Indomável"
"Julgamento em Nuremberg"
"O Tesouro da Sierra Madre"
"Disque M para Matar"
"Três Anúncios para um Crime"
"Ilha do Medo"
"Em Busca do Ouro"
"Chinatown"
"Meu Pai e Meu Filho"
"Onde os Fracos Não Têm Vez"
"V de Vingança"
"Divertida Mente"
"O Sétimo Selo"
"O Homem Elefante"
"O Enigma de Outro Mundo"
"Guerreiro"
"O Sexto Sentido"
"Trainspotting: Sem Limites"
"Jurassic Park: O Parque dos Dinossauros"
"Klaus"
"O Show de Truman: O Show da Vida"
"...E o Vento Levou"
"Procurando Nemo"
"Morangos Silvestres"
"Blade Runner: O Caçador de Androides"
"Stalker"
"Kill Bill: Volume 1"
"Memórias de um Assassino"
"A Ponte do Rio Kwai"
"Fargo: Uma Comédia de Erros"
"O Quarto de Jack"
"O 3º Homem"
"Relatos Selvagens"
"Gran Torino"
"Era uma Vez em Tóquio"
"Sindicato de Ladrões"
"O Franco Atirador"
"Anand"
"Em Nome do Pai"
"Mary e Max: Uma Amizade Diferente"
"O Grande Hotel Budapeste"
"Garota Exemplar"
"Antes do Amanhecer"
"Prenda-me se for Capaz"
"Até o Último Homem"
"Sonata de Outono"
"Quando Duas Mulheres Pecam"
"Assassinato às Cegas"
"Os Suspeitos"
"O Grande Lebowski"
"Bancando o Águia"
"Soul"
"Ser ou Não Ser"
"A General"
"Como Treinar o Seu Dragão"
"Ford vs Ferrari"
"Barry Lyndon"
"12 Anos de Escravidão"
"O Bandido"
"A Mulher Faz o Homem"
"Mad Max: Estrada da Fúria"
"Menina de Ouro"
"Sociedade dos Poetas Mortos"
"Rede de Intrigas"
"Conta Comigo"
"Harry Potter e as Relíquias da Morte - Parte 2"
"Ben-Hur"
"Rebeldia Indomável"
"Sempre ao Seu Lado"
"A Criada"
"Platoon"
"Logan"
"Na Natureza Selvagem"
"Rush: No Limite da Emoção"
"O Salário do Medo"
"A Vida de Brian"
"Vida Cigana"
"O Ódio"
"Os Incompreendidos"
"O Martírio de Joana D'Arc"
"Spotlight: Segredos Revelados"
"Hotel Ruanda"
"Amores Brutos"
"Gangues de Wasseypur"
"Andrei Rublev"
"Rocky: Um Lutador"
"Monstros S.A."
"Nausicaä do Vale do Vento"
"Rebecca, a Mulher Inesquecível"
"Rififi"
"Pinte de Açafrão"
"Antes do Pôr-do-Sol"
"Amor à Flor da Pele"
"Paris, Texas"
"Retrato de uma Jovem em Chamas"
"Aconteceu Naquela Noite"
"Um Contratempo"
"A Chantagem"
"Histórias Cruzadas"
"A Batalha de Argel"
"Tangerinas"
"A Voz do Silêncio"
"A Princesa Prometida"
"A Fraternidade é Vermelha"
